"","RID","GroupAssignment","Age_Yrs","Year_of_Study","Live_Pets","Consumer_BARK","Stage","PANAS_PA","SHS","SCS","Engagement","FS","Stress","Homesick","Lonely","PANAS_NA","diff","Group"
"110",110,"Direct",19,2,2,1,"post",2.2,3.33333333333333,4.9,3,5.5,2,2,1.55,1.2,0.05,"Direct"
"111",111,"Indirect",18,1,2,1,"post",2.8,2,3.10526315789474,4,4.875,2,3,3.15,3.4,-0.0500000000000003,"Indirect"
"112",112,"Control",19,2,NA,5,"post",3.6,4.66666666666667,5.45,1,6.25,3,2,1.45,1,0.15,"Control"
"113",113,"Direct",19,2,1,1,"post",3.2,3,3.9,4,5.625,2,1,2.35,1,-0.2,"Direct"
"114",114,"Indirect",20,1,1,1,"post",3.4,3.66666666666667,5.3,4,6.125,2,1,1.4,1,-0.05,"Indirect"
"115",115,"Control",18,1,2,1,"post",3.6,4.33333333333333,3,3,6.5,1,2,1.15,1.4,-0.2,"Control"
"116",116,"Direct",19,2,1,1,"post",3,3.66666666666667,4.15,4,4.875,2,1,2.4,2,0,"Direct"
"117",117,"Indirect",21,2,2,1,"post",3,3.66666666666667,5,2,5.85714285714286,3,2,2.2,1.6,0.3,"Indirect"
"118",118,"Control",20,2,2,1,"post",3,3,4.65,2,5.875,2,3,2.05,1.8,0.3,"Control"
"119",119,"Direct",19,2,1,1,"post",3.4,4,4.65,3,5.375,3,1,1.9,2,0,"Direct"
"120",120,"Indirect",19,1,2,1,"post",4.6,3,4.05,4,6.125,2,2,2.45,2,0,"Indirect"
"121",121,"Control",18,1,2,1,"post",3,4.33333333333333,5.6,5,6.875,1,1,1.55,1,-0.2,"Control"
"122",122,"Direct",18,1,2,1,"post",4,4.66666666666667,5.6,2,6.25,1,2,1.15,1,-0.05,"Direct"
"123",123,"Indirect",18,1,1,1,"post",3.2,4,4.85,2,5.875,2,1,1.45,1.2,-0.25,"Indirect"
"124",124,"Control",18,2,2,4,"post",4.4,1.66666666666667,4.3,2,6.125,3,5,2.15,2.8,-0.15,"Control"
"125",125,"Direct",19,2,2,2,"post",3.4,4,4.55,3,5.875,1,2,1.95,1.2,-0.05,"Direct"
"126",126,"Indirect",18,1,1,1,"post",3.6,4.33333333333333,5,2,6,3,1,1.8,1.8,0.0105263157894737,"Indirect"
"127",127,"Control",18,1,2,1,"post",2.2,4.33333333333333,5.45,2,5.875,4,1,1.65,1,0,"Control"
"128",128,"Direct",21,4,2,1,"post",3.8,4,5.45,1,6.25,1,2,1.1,1.2,-0.3,"Direct"
"129",129,"Indirect",21,3,2,1,"post",4,4,4.35,1,6.375,1,2,1.75,3,-0.5,"Indirect"
"130",130,"Control",18,1,1,1,"post",2.2,3,4.05,4,4.875,3,1,2,1.2,-0.45,"Control"
"131",131,"Direct",19,1,2,1,"post",2.4,1.66666666666667,3.55,2,4.5,3,4,2.45,1.8,-0.15,"Direct"
"132",132,"Indirect",19,1,2,1,"post",3.2,3,4.8,3,6,2,2,1.85,1.4,-0.15,"Indirect"
"133",133,"Control",19,2,2,2,"post",3.8,4,4.4,4,5.875,2,3,1.75,2,0,"Control"
"134",134,"Direct",24,2,1,2,"post",4.6,4,5.8,2,6.75,1,2,1.25,1,-0.3,"Direct"
"135",135,"Indirect",18,1,2,1,"post",2.8,3.66666666666667,5,2,5,2,2,1.35,1.2,-0.0999999999999999,"Indirect"
"136",136,"Control",18,1,2,1,"post",2.8,1.66666666666667,3.7,3,3.5,3,1,2.7,1.2,0.25,"Control"
"137",137,"Direct",22,3,NA,3,"post",4.2,4,4.85,4,5.875,2,4,2.25,2,-0.25,"Direct"
"138",138,"Indirect",20,3,2,1,"post",3.6,2,2.75,4,4.875,3,2,3.05,1.6,0.0499999999999998,"Indirect"
"139",139,"Control",19,2,2,2,"post",4,3.66666666666667,5.2,2,6.125,2,2,1.57894736842105,1,-0.371052631578947,"Control"
"140",140,"Direct",20,2,1,2,"post",2.4,3.66666666666667,5.2,3,6.625,1,1,1.9,1,-1.15,"Direct"
"141",141,"Indirect",18,1,2,1,"post",3.4,4,4.95,2,6,4,4,2,2,-0.2,"Indirect"
"142",142,"Control",18,1,2,1,"post",3,2.66666666666667,4.55,2,5.375,4,3,1.95,1.8,-0.313157894736842,"Control"
"143",143,"Direct",20,2,2,1,"post",2.6,2.33333333333333,4.55,3,5,2,1,1.8,2.2,0.15,"Direct"
"144",144,"Indirect",21,4,2,1,"post",4.2,3.33333333333333,5.5,1,6.375,4,3,1.45,1.4,-0.75,"Indirect"
"145",145,"Control",20,2,1,1,"post",3,3,3.5,4,5.625,5,1,2.55,2.8,-0.3,"Control"
"146",146,"Direct",30,2,1,1,"post",3.2,3.33333333333333,4.3,4,4.875,1,1,1.8,1.2,0.1,"Direct"
"147",147,"Indirect",21,2,2,1,"post",3.8,3.66666666666667,4.55,3,6.125,2,2,1.8,1.4,0.1,"Indirect"
"148",148,"Control",18,1,2,1,"post",1.6,3.66666666666667,3.7,4,5.5,4,4,2.9,1.2,-0.5,"Control"
"149",149,"Direct",19,2,2,2,"post",3.2,4.66666666666667,5.35,2,6,1,1,1.05,1.2,-0.0999999999999999,"Direct"
"150",150,"Indirect",23,4,2,1,"post",2.8,4,4,2,5.375,2,2,2.2,1.6,-0.3,"Indirect"
