Hand #,Marked,Site,Date,Stake,My C Won,Final Hand,Hole Cards,PF Act,Flop,F Act,Turn,T Act,River,R Act,Winner,Winning Hand,Pot,Rake,won_cumul
213870000000,NA,PokerStars,5/18/2020 9:32,$1 NL (6 max),$0.00,(folded preflop),Tc2c,F,7dJs5d,NA,4h,NA,6d,NA,JDUBB0419,(did not show hand),$9.00,$0.45,771.89
213870000000,NA,PokerStars,5/18/2020 9:32,$1 NL (6 max),$0.00,(folded preflop),9c4s,F,4hJc6c,NA,2d,NA,0,NA,12Gator12,(did not show hand),$21.00,$1.05,771.89
213870000000,NA,PokerStars,5/18/2020 9:32,$1 NL (6 max),$0.00,(folded preflop),Qc6c,F,Jc7hAc,NA,6d,NA,Th,NA,Estelle Getty,"One Pair, Tens",$2.50,$0.12,771.89
213870000000,NA,PokerStars,5/18/2020 9:32,$1 NL (6 max),($0.50),(folded preflop),9c3c,F,0,NA,0,NA,0,NA,12Gator12,(did not show hand),$1.00,$0.00,771.39
213870000000,NA,PokerStars,5/18/2020 9:32,$1 NL (6 max),($0.50),(folded preflop),Ks7c,F,0,NA,0,NA,0,NA,JDUBB0419,(did not show hand),$2.50,$0.00,770.89
213870000000,NA,PokerStars,5/18/2020 9:33,$1 NL (6 max),($7.75),(folded river),Ah3h,R,2cKs5s,B,Ts,X,8d,XF,12Gator12,(did not show hand),$24.25,$1.21,763.14
213870000000,NA,PokerStars,5/18/2020 9:33,$1 NL (6 max),($3.00),(folded flop),Kd9d,R,5s2dTh,F,5d,NA,3h,NA,JDUBB0419,(did not show hand),$19.50,$0.98,760.14
213870000000,NA,PokerStars,5/18/2020 9:33,$1 NL (6 max),($3.00),(folded flop),As8s,R,Td9dKc,XF,0,NA,0,NA,gmmg1129,(did not show hand),$9.50,$0.48,757.14
213870000000,NA,PokerStars,5/18/2020 9:33,$1 NL (6 max),$0.00,(folded preflop),Qc8d,F,0,NA,0,NA,0,NA,johntozz1,(did not show hand),$2.50,$0.00,757.14
213870000000,NA,PokerStars,5/18/2020 9:34,$1 NL (6 max),($1.00),(folded preflop),Th2h,F,0,NA,0,NA,0,NA,jwich2232,(did not show hand),$2.00,$0.00,756.14
